region_1,country,coordinates
Etna,Italy,"[37.751005, 14.9934349]"
Willamette Valley,US,"[44.942554, -122.9337615]"
Lake Michigan Shore,US,"[43.8348105, -85.0720293]"
Navarra,Spain,"[42.6953909, -1.6760691]"
Vittoria,Italy,"[35.4669667, -97.5428508]"
Alsace,France,"[48.3181795, 7.441624099999999]"
Napa Valley,US,"[38.5024689, -122.2653887]"
Alexander Valley,US,"[38.65649, -122.786907]"
Central Coast,US,"[-33.3208415, 151.2335592]"
Cafayate,Argentina,"[-26.0730798, -65.976052]"
Mendoza,Argentina,"[-32.8894587, -68.8458386]"
Ribera del Duero,Spain,"[41.6995677, -3.9271321]"
Virginia,US,"[37.4315734, -78.6568942]"
Oregon,US,"[43.8041334, -120.5542012]"
Sicilia,Italy,"[37.5999938, 14.0153557]"
Paso Robles,US,"[35.6368759, -120.6545022]"
Sonoma Coast,US,"[38.4052701, -123.096764]"
Terre Siciliane,Italy,"[38.144517, 13.3464781]"
Cerasuolo di Vittoria,Italy,"[36.9728095, 14.5516064]"
Clarksburg,US,"[39.2806451, -80.34453409999999]"
Beaujolais-Villages,France,"[38.3381283, -122.6705029]"
Dry Creek Valley,US,"[38.61054, -122.873166]"
Sonoma Valley,US,"[38.291859, -122.4580356]"
McMinnville,US,"[45.21011619999999, -123.1987163]"
Puglia,Italy,"[40.7928393, 17.1011931]"
Beaujolais,France,"[46.1134349, 4.7263863]"
Lake County,US,"[42.3689363, -87.8271534]"
Monticello,US,"[38.0086043, -78.4531994]"
Brouilly,France,"[45.844705, 4.40916]"
Monica di Sardegna,Italy,"[40.8262943, 8.40757]"
Bordeaux Blanc,France,"[29.7834756, -98.25444730000001]"
North Coast,US,"[33.2359409, -117.255003]"
Columbia Valley (WA),US,"[38.8491873, -104.7379121]"
Romagna,Italy,"[44.5967607, 11.2186396]"
Champagne,France,"[35.9346922, -96.0134444]"
Santa Ynez Valley,US,"[34.5841542, -120.0973685]"
Chablis,France,"[47.815269, 3.800450999999999]"
Mâcon-Milly Lamartine,France,"[46.3486649, 4.6979559]"
California,US,"[36.778261, -119.4179324]"
Aglianico del Vulture,Italy,
Howell Mountain,US,"[38.58139, -122.45]"
Calistoga,US,"[38.5787965, -122.5797054]"
South Australia,Australia,"[-30.0002315, 136.2091547]"
Eola-Amity Hills,US,"[45.1312282, -123.1637138]"
Rías Baixas,Spain,"[42.4270967, -8.814226399999999]"
Vin de France,France,"[38.6213413, -90.21295549999999]"
McLaren Vale,Australia,"[-35.2210309, 138.5461247]"
Ancient Lakes,US,"[47.1508517, -119.9631178]"
Knights Valley,US,
Vernaccia di San Gimignano,Italy,"[39.5888896, -106.1002465]"
Toscana,Italy,"[43.7710513, 11.2486208]"
Sonoma County,US,"[38.5779555, -122.9888319]"
Juliénas,France,"[46.235505, 4.709970999999999]"
Régnié,France,"[46.136803, 4.64105]"
Finger Lakes,US,"[42.7238165, -76.9297247]"
Morellino di Scansano,Italy,"[42.65701, 11.388251]"
Santa Clara Valley,US,"[37.2488478, -121.8399593]"
Yountville,US,"[38.40157809999999, -122.3608105]"
Barolo,Italy,"[47.6146633, -122.3374525]"
Rockpile,US,"[37.6616532, -94.30753349999999]"
Padthaway,Australia,"[-36.6270289, 140.433893]"
Saint-Émilion,France,"[44.89438699999999, -0.155729]"
Barbera d'Alba,Italy,"[44.7009153, 8.0356911]"
Santa Lucia Highlands,US,"[36.4307709, -121.4203754]"
Spring Mountain District,US,"[38.5228143, -122.5492726]"
Monterey,US,"[36.6002378, -121.8946761]"
Carmel Valley,US,"[36.4799024, -121.7327931]"
Dominio de Valdepusa,Spain,
Santa Cruz Mountains,US,"[37.1108921, -121.8448906]"
Chianti Classico,Italy,"[36.117132, -94.149616]"
Brunello di Montalcino,Italy,"[43.0886327, 11.4866396]"
Cahors,France,"[44.4475229, 1.441989]"
Edna Valley,US,"[35.2168996, -120.6077553]"
Moulin-à-Vent,France,
Madiran,France,"[43.549639, -0.057621]"
Russian River Valley,US,"[38.483083, -122.80327]"
Alto Adige,Italy,"[46.4336662, 11.1693296]"
Arroyo Seco,US,"[36.2316817, -121.485235]"
Salta,Argentina,"[-24.7821269, -65.4231976]"
Anderson Valley,US,"[39.0865657, -123.4794542]"
Campania,Italy,"[41.10994729999999, 14.8475139]"
Rosso del Veronese,Italy,"[45.4437804, 10.9800636]"
St.-Romain,France,"[46.99825800000001, 4.708748]"
Vino Nobile di Montepulciano,Italy,"[38.2566533, -122.4370999]"
Nevada County,US,"[39.1346666, -121.1710389]"
Côtes du Rhône,France,"[27.2192294, -82.4624194]"
Vacqueyras,France,"[44.13846299999999, 4.982689]"
Rueda,Spain,"[41.4108743, -4.9597661]"
Luján de Cuyo,Argentina,"[-33.0391038, -68.8798644]"
Cayuga Lake,US,"[42.6776693, -76.6990172]"
Montepulciano d'Abruzzo,Italy,
Santa Barbara County,US,"[34.4208321, -119.6982057]"
Diamond Mountain District,US,"[38.54334530000001, -122.578433]"
San Marino,Italy,"[43.94236, 12.457777]"
Mendocino,US,"[39.3076744, -123.7994591]"
Vin de Pays des Côtes de Gascogne,France,
Vino de la Tierra de Castilla y León,Spain,"[41.59491, -4.575127]"
San Juan,Argentina,"[18.4655394, -66.1057355]"
Adelaide Hills,Australia,"[-34.9062557, 138.8397403]"
Sonoma Mountain,US,"[38.3229698, -122.5749837]"
Amador County,US,"[38.3488921, -120.7740931]"
St. Helena,US,"[-15.9650104, -5.7089241]"
Cole Ranch,US,"[35.9733, -119.035202]"
Santa Maria Valley,US,"[34.9457909, -120.561774]"
Torgiano,Italy,"[43.0273158, 12.432391]"
Veneto,Italy,"[45.76233329999999, 11.690976]"
Colli Orientali del Friuli,Italy,"[45.9999263, 13.4380093]"
Uco Valley,Argentina,"[29.3593867, -100.9122058]"
Monferrato,Italy,"[44.8175587, 8.7046627]"
Dundee Hills,US,"[45.277904, -123.018535]"
Perdriel,Argentina,"[-33.0764292, -68.8868944]"
Arroyo Grande Valley,US,"[35.1072335, -120.5815117]"
Montsant,Spain,"[41.292953, 0.7978029999999999]"
Saint-Estèphe,France,"[45.2648099, -0.7717824]"
